Type,Id,MainQuest,Contents,RelatedId,ResourceAddress,Description
Text,1000,,Escape Facilituy,,,
Text,1001,1000,Hack and Heist Body,,,
Panel,1002,1000,Press [E] to Throw Shuriken,,PanelVideo/1002,
Panel,1003,1000,Required Hacking gauge are different depend on Type,1002,,
Panel,1004,1000,"When gauge is Full\, press [Q] to Heist Body",1003,PanelVideo/1004,
Text,1005,1000,Upload Data,,,
Text,1006,1000,Hack the Console,,,
Text,1007,1000,Reach the outside,,,
Panel,1008,1000,Press [Right Mouse] to use Piece's Unique Ability,,PanelVideo/1008,
Panel,1009,1000,You can Check Remaining Amount of Ability Gauge ,1008,PanelVideo/1009,
Panel,1014,1000,You can Use Dash By Press [Shift],1009,PanelVideo/1014,
Panel,1015,1000,You can Check Remaining Amount of Dash Gauge ,1014,PanelVideo/1015,
Panel,1010,1000,Detect Camera Will Alarm Your Current Body to Other Pieces Nearby,,PanelVideo/1010,
Text,1011,1000,You can Hack Rook After Destroy It's Shield,,,
Text,1012,1000,Find the Way Out,,,
Text,1013,1000,Survive,,,
Text,1016,1000,Avoid and Hack the Console,,,
Text,2000,,Intrude Main Server,,,
Text,2002,2000,Through the Barricade,,,
Text,2003,2000,Find the Back Door,,,
Panel,2004,2000,By hitting the Shimmering Pads with Shuriken you can hack the pads the way you need,,PanelVideo/1002,
Text,2006,2000,Go to Rooftop,,,
Text,2007,2000,Find Queen,,,
Text,3000,,Kill the Queen,,,
Text,3001,3000,Find the Queen's Server,,,
Text,3002,3000,Deactivate Server(0/3),,,
Text,3003,3000,Deactivate Server(1/3),,,
Text,3004,3000,Deactivate Server(2/3),,,
Text,3005,3000,Deactivate Server(3/3),,,
